"Plats et plateaux",221,"Platerie plateaux"
"Les contenants et l'utilitaire",228,"Petit, gros contenants"
"Nappes",,
"Argenterie",223,"Argenterie"
"Céramique",229,"Céramique"
"Ustensiles",227,"Ustensiles"
"Mobilier","id ancienne categorie","nom acienne categorie"
"Chaises",263,"Chaises"
"Tables et buffets",262,"Tables"
"Bar et tabourets",270,"Bar"
"Charrettes et étals",273,"Chariot Mobile"
"Cloisons et paravents",,
"Décoration",,
"Comptoir",,
"Cuisine","id ancienne categorie","nom acienne categorie"
"Chaudron à soupe",,
"Autocuiseur",213,"Autocuiseur"
"Bac Gastro",,
"Etuves",207,"Etuves et réchaux"
"Etuves ventilées",,
"Fours 10 et 20 niv",175,"Four"
"Fours moins de 10mn",,
"Bains marie",,
"Plaques de cuisson",603,"Plaque de cuisson"
"Ustensiles",,
"Micro onde",,
"Percolateurs",,
"Poele",,
"Thermoverseur",183,"Thermoverseur"
"Trancheur de jambon",,
"Grill poulet",,
"Plaque hamburger",,
"Salamandre",212,"Salamandre"
"Steak et croque",,
"Toasteur",,
"Barbecue",206,"Barbecue"
"Tireuse à bière",174,"Tireuse à bière"
"Appareil a pop corn",177,"Pop corn"
"Appareil à barbe à papa",178,"Barbe à papa"
"Crespières",,
"Gaufrier",604,"Gaufrier"
"Hot dogger",181,"Hotdog"
"Table barbecue",,
"Armoire froide",,
"Machine à glace",182,"Machine à glace"
"Vitrines froides",,
"Conteneur isotherme",,
"Rangement",,
"Lavage",,
"Exterieurs","id ancienne categorie","nom acienne categorie"
"Chapiteau",197,"Chapiteau"
"Jeux gonflables",196,"Jeux gonflables"
"Tente de reception",193,"Tente de réception"
"Gradin/estrade/podium",194,"Gradin"
"Parasol",195,"Parasol"
"Electromenager de cuisine","id ancienne categorie","nom acienne categorie"
"Cafetiere",,
"Cafetiere à dosettes",,
"Expresso",,
"Moulin à café",,
"Grille pain",596,"Grille-pain"
"Machine à pain",,
"Presse-agrume",600,"Presse-agrumes"
"Centrifugeuse",602,"Centrifugeuse"
"Friteuse",208,"Friteuse"
"Grill/pierrade",,
"Cuiseur vapeur",601,"Cuisovapeur"
"Autocuiseur",213,"Autocuiseur"
"Raclette/fondue","202-203","Appareil à fondue, appareil à raclette"
"Gaufrier/croque monsieur/hotdog",,
"Crepiere",,
"Micro onde",,
"Four",216,"Four"
"Refrigerateur",945,"Réfrigerateur"
"Congelateur",215,"Congélateur"
"Cave a vin",,
"Lace vaisselle",609,"Lave-vaisselle"
"Entretien","id ancienne categorie","nom acienne categorie"
"Aspirateur",605,"Aspirateur"
"Machine a vapeur",608,"Nettoyeur Vapeur"
"Centrale vapeur",,
"Fer a repasser",606,"Repassage"
"Lave linge",,
"Seche linge",610,"Lave Linge"
"Machine a coudre",607,"Machine à coudre/tricoter"
"Paramédical","id ancienne categorie","nom acienne categorie"
"Attelle",700,"Attelle"
"Béquille",691,"Béquille"
"Déambulateur",692,"Déambulateur"
"Fauteuil roulant",690,"Fauteuil Roulant"
"Ceinture abdominale",703,"Ceinture"
"Chevillière",705,"Chevillière"
"Colliers cervicaux",702,"Colliers cervicaux"
"Coudiere",705,"Chevillière"
"Genouillère",701,"Genouillère"
"Soin du corp","id ancienne categorie","nom acienne categorie"
"Table de massage",625,"Massage"
"Humidificateur ionisateur d'air",717,"Humidificateur"
"Velo d'appartement",,
"Manucure pedicure",,
"Lampe de luminotherapie",617,"Luminothérapie"
"Diffuseur d'huiles essentielles",,
